"project","pair_id","expected_type","expected_scope","view","top_k","method_top_k","method_count","avg_exhaustive_similarity","avg_constrained_similarity","avg_similarity_delta","max_exhaustive_similarity","max_constrained_similarity","max_non_constructor_constrained_similarity","best_left_method","best_right_method","best_non_constructor_left_method","best_non_constructor_right_method","avg_candidate_reduction","total_exhaustive_candidate_pairs","total_constrained_candidate_pairs","runtime_ms","status","error","transformation_tag","difficulty","limitation_tag","notes"
"T3","java_t3_skip_odd_04","T3","FULL","DISCOVRE_NUMERIC","8","2","4","0.515625","0.515625","0.0","1.0","1.0","0.625","StatementBase.<init>()V","StatementSkipOdd.<init>()V","StatementBase.clampAndSum([I)I","StatementSkipOdd.clampAndSum([I)I","0.22187019969278035","98","80","1485","success","","STATEMENT_INSERT_DELETE","L2","THRESHOLDS_HEURISTIC","Extra continue branch"
"T3","java_t3_skip_odd_04","T3","FULL","RAW_HASH_BUCKET","8","2","4","0.515625","0.453125","0.0625","1.0","1.0","0.4375","StatementBase.<init>()V","StatementSkipOdd.<init>()V","StatementBase.clampAndSum([I)I","StatementSkipOdd.clampAndSum([I)I","0.2665610599078341","98","56","1466","success","","STATEMENT_INSERT_DELETE","L2","THRESHOLDS_HEURISTIC","Extra continue branch"
"T3","java_t3_skip_odd_04","T3","FULL","HYBRID_NUMERIC_HASH","8","2","4","0.515625","0.453125","0.0625","1.0","1.0","0.4375","StatementBase.<init>()V","StatementSkipOdd.<init>()V","StatementBase.clampAndSum([I)I","StatementSkipOdd.clampAndSum([I)I","0.2446716589861751","98","58","1442","success","","STATEMENT_INSERT_DELETE","L2","THRESHOLDS_HEURISTIC","Extra continue branch"
"T3","java_t3_early_continue_05","T3","FULL","DISCOVRE_NUMERIC","8","2","4","0.550481695093932","0.550481695093932","0.0","1.0","1.0","0.7211575496064973","StatementBase.<init>()V","StatementEarlyContinue.<init>()V","StatementBase.clampAndSum([I)I","StatementEarlyContinue.clampAndSum([I)I","0.11665120593692022","80","70","1427","success","","CONTROL_FLOW_REORDER","L2","THRESHOLDS_HEURISTIC","Uses continue instead of assignment"
"T3","java_t3_early_continue_05","T3","FULL","RAW_HASH_BUCKET","8","2","4","0.550481695093932","0.5132362486650884","0.03724544642884356","1.0","1.0","0.5833096241067369","StatementBase.<init>()V","StatementEarlyContinue.<init>()V","StatementBase.clampAndSum([I)I","StatementEarlyContinue.clampAndSum([I)I","0.22866419294990722","80","49","1425","success","","CONTROL_FLOW_REORDER","L2","THRESHOLDS_HEURISTIC","Uses continue instead of assignment"
"T3","java_t3_early_continue_05","T3","FULL","HYBRID_NUMERIC_HASH","8","2","4","0.550481695093932","0.5160197137189919","0.03446198137494011","1.0","1.0","0.6602327010298138","StatementBase.<init>()V","StatementEarlyContinue.<init>()V","StatementBase.clampAndSum([I)I","StatementEarlyContinue.clampAndSum([I)I","0.21846011131725418","80","51","1427","success","","CONTROL_FLOW_REORDER","L2","THRESHOLDS_HEURISTIC","Uses continue instead of assignment"
"T3","java_t3_extra_counter_06","T3","FULL","DISCOVRE_NUMERIC","8","2","4","0.558168462463682","0.558168462463682","0.0","1.0","1.0","0.7683881355690136","StatementBase.<init>()V","StatementExtraCounter.<init>()V","StatementBase.clampAndSum([I)I","StatementExtraCounter.clampAndSum([I)I","0.19126235399820304","87","71","1425","success","","STATEMENT_INSERT_DELETE","L2","THRESHOLDS_HEURISTIC","Extra side computation"
"T3","java_t3_extra_counter_06","T3","FULL","RAW_HASH_BUCKET","8","2","4","0.558168462463682","0.5089285714285714","0.04923989103511056","1.0","1.0","0.6428571428571429","StatementBase.<init>()V","StatementExtraCounter.<init>()V","StatementBase.clampAndSum([I)I","StatementExtraCounter.clampAndSum([I)I","0.23820754716981132","87","56","1435","success","","STATEMENT_INSERT_DELETE","L2","THRESHOLDS_HEURISTIC","Extra side computation"
"T3","java_t3_extra_counter_06","T3","FULL","HYBRID_NUMERIC_HASH","8","2","4","0.558168462463682","0.5089285714285714","0.04923989103511056","1.0","1.0","0.6428571428571429","StatementBase.<init>()V","StatementExtraCounter.<init>()V","StatementBase.clampAndSum([I)I","StatementExtraCounter.clampAndSum([I)I","0.2024932614555256","87","58","1773","success","","STATEMENT_INSERT_DELETE","L2","THRESHOLDS_HEURISTIC","Extra side computation"
"T3","java_t3_reverse_loop_07","T3","FULL","DISCOVRE_NUMERIC","8","2","4","0.6041666666666666","0.6041666666666666","0.0","1.0","1.0","0.9166666666666666","StatementBase.<init>()V","StatementReverseLoop.<init>()V","StatementBase.clampAndSum([I)I","StatementReverseLoop.clampAndSum([I)I","0.14424603174603173","77","68","1445","success","","CONTROL_FLOW_REORDER","L2","THRESHOLDS_HEURISTIC","Index loop instead of enhanced loop"
"T3","java_t3_reverse_loop_07","T3","FULL","RAW_HASH_BUCKET","8","2","4","0.6041666666666666","0.5625","0.04166666666666666","1.0","1.0","0.75","StatementBase.<init>()V","StatementReverseLoop.<init>()V","StatementBase.clampAndSum([I)I","StatementReverseLoop.clampAndSum([I)I","0.1736111111111111","77","54","1445","success","","CONTROL_FLOW_REORDER","L2","THRESHOLDS_HEURISTIC","Index loop instead of enhanced loop"
"T3","java_t3_reverse_loop_07","T3","FULL","HYBRID_NUMERIC_HASH","8","2","4","0.6041666666666666","0.5625","0.04166666666666666","1.0","1.0","0.75","StatementBase.<init>()V","StatementReverseLoop.<init>()V","StatementBase.clampAndSum([I)I","StatementReverseLoop.clampAndSum([I)I","0.1736111111111111","77","54","1477","success","","CONTROL_FLOW_REORDER","L2","THRESHOLDS_HEURISTIC","Index loop instead of enhanced loop"
